Timing is on.
          c_last_name           |     c_first_name     | c_salutation | c_preferred_cust_flag | ss_ticket_number | cnt 
 Cardoza                        | Thomas               | Dr.          | N                     |           228018 |  16
 Carlson                        | John                 | Sir          | N                     |           225839 |  15
 Carlton                        | Philip               | Dr.          | N                     |           916806 |  16
 Carman                         | Angie                | Dr.          | Y                     |           449052 |  15
 Carnahan                       | Donna                | Mrs.         | Y                     |            81272 |  16
 Caron                          | Nathan               | Sir          | N                     |           167610 |  16
 Carpenter                      | Barbara              | Miss         | Y                     |            97693 |  15
 Carson                         | Larry                | Sir          | N                     |           844223 |  15
 Carson                         | Margaret             | Ms.          | Y                     |           312703 |  15
 Carter                         | Anna                 | Miss         | Y                     |           272596 |  15
 Carter                         | Grace                | Mrs.         | N                     |           278055 |  15
 Carter                         | Julio                | Dr.          | N                     |           703773 |  15
 Carver                         | Allison              | Miss         | N                     |           862819 |  15
 Carver                         | Lillian              | Mrs.         | Y                     |           951381 |  15
 Cash                           | Diane                | Dr.          | Y                     |           577210 |  16
 Castillo                       | Don                  | Mr.          | Y                     |           549477 |  15
 Castillo                       | Elizabeth            | Ms.          | N                     |           124483 |  16
 Castillo                       | Juana                | Dr.          | N                     |           305501 |  15
 Castro                         | Daniel               | Mr.          | N                     |           826902 |  15
 Cates                          | Chelsea              |              |                       |           368373 |  15
 Catlett                        | Danial               | Mr.          | N                     |           155985 |  15
 Caudill                        | Lewis                | Mr.          | N                     |           782889 |  15
 Cazares                        | Jeremy               | Mr.          | Y                     |           304315 |  15
 Cerda                          | Micheal              | Dr.          | N                     |           669167 |  15
 Chambers                       | Margit               | Miss         | Y                     |           816490 |  15
 Chang                          | Erik                 | Sir          | Y                     |           121299 |  16
 Chapman                        | Carolyn              | Ms.          | Y                     |           190426 |  15
 Chapman                        | Darrell              | Sir          | Y                     |           764751 |  15
 Chappell                       | Kendrick             | Dr.          | N                     |           682168 |  15
 Cheatham                       | Robert               | Mr.          | Y                     |           256774 |  16
 Chesser                        | Fred                 | Sir          | N                     |           193964 |  15
 Childs                         | Adam                 | Mrs.         | Y                     |           106686 |  15
 Christian                      | William              | Mr.          | Y                     |            79119 |  15
 Christiansen                   | Kimberly             | Ms.          | Y                     |           192990 |  15
 Clarkson                       | Kevin                | Mr.          | Y                     |           251010 |  15
 Clausen                        | Edward               | Mr.          | N                     |           902092 |  16
 Clay                           | Destiny              | Mrs.         | Y                     |           335614 |  15
 Clay                           | Mark                 | Dr.          | N                     |           307784 |  15
 Clay                           | Mindy                | Dr.          | N                     |           287077 |  15
 Clayton                        | Meghan               | Dr.          | Y                     |           487418 |  15
 Clifford                       | Nellie               | Miss         | N                     |           265494 |  15
 Cline                          | Eric                 | Mr.          | Y                     |            93156 |  15
 Cline                          | Walter               | Dr.          | Y                     |           624024 |  16
 Cloud                          | Nicholas             | Dr.          | Y                     |           696540 |  15
 Cohen                          | Carrie               | Mrs.         | N                     |            34324 |  15
 Cole                           | Forrest              | Sir          | N                     |           595815 |  15
 Cole                           | Harry                | Dr.          | N                     |           691914 |  16
 Coleman                        | David                | Dr.          | Y                     |           770439 |  15
 Coley                          | Millie               | Miss         | N                     |            68900 |  15
 Collier                        | Dale                 | Dr.          | N                     |           302204 |  15
 Collins                        | Irene                | Dr.          | N                     |           230456 |  15
 Collins                        | Jeanine              | Mrs.         | Y                     |           651866 |  15
 Collins                        | Kevin                | Sir          | N                     |            93490 |  15
 Collins                        | Patsy                | Ms.          | N                     |           333977 |  16
 Colon                          | Jessica              | Ms.          | N                     |           754700 |  16
 Combs                          | Ricky                | Sir          | Y                     |           931484 |  15
 Comer                          | Peter                | Mr.          | Y                     |           745525 |  15
 Condon                         | Leslie               | Mr.          | Y                     |           306549 |  16
 Conner                         | Kelly                | Sir          | N                     |            17023 |  16
 Conner                         | Yolanda              | Miss         | N                     |           811620 |  15
 Conte                          | Melanie              | Miss         | Y                     |           737567 |  16
 Cook                           | Charlotte            | Dr.          | N                     |           598926 |  15
 Cook                           | Donald               | Sir          | Y                     |           558548 |  15
 Cook                           | Jeffrey              | Mr.          | N                     |           495750 |  16
 Cook                           | Julius               | Sir          | N                     |           876422 |  16
 Cook                           | Miguel               | Mr.          | Y                     |             3031 |  15
 Cook                           | Sonny                | Mr.          | N                     |           923152 |  16
 Cooney                         | Kathy                | Ms.          | Y                     |           547308 |  16
 Cooper                         | Al                   | Mr.          | Y                     |           625710 |  15
 Cooper                         | Barbara              | Dr.          | N                     |           367668 |  15
 Cooper                         | Brian                | Mr.          | Y                     |           532813 |  15
 Cooper                         | Carolyn              | Ms.          | N                     |           352395 |  15
 Copeland                       | Kenneth              | Sir          | N                     |           302474 |  15
 Corbin                         | Stephen              | Dr.          | N                     |           580295 |  15
 Cordero                        | Gary                 | Sir          | Y                     |           832610 |  15
 Cordova                        | Harley               | Dr.          | Y                     |           621049 |  15
 Coronado                       | Pablo                | Sir          | Y                     |           276962 |  15
 Costa                          | Richard              | Dr.          | Y                     |           236127 |  15
 Cotter                         | Marcy                | Miss         | Y                     |            97824 |  15
 Cox                            | Jonathan             | Dr.          | N                     |           402875 |  15
 Cox                            | Rebecca              | Mrs.         | Y                     |            99344 |  15
 Craft                          | Margaret             | Mrs.         | Y                     |           444173 |  15
 Craft                          | Robert               | Sir          | N                     |           407258 |  15
 Craig                          | Vanessa              | Ms.          | N                     |           409026 |  15
 Craig                          |                      |              |                       |           565891 |  16
 Cramer                         | Josefa               | Miss         | Y                     |            51394 |  15
 Crawford                       | Carroll              | Sir          | Y                     |           120235 |  16
 Crawford                       | James                | Mr.          | N                     |           651480 |  15
 Crawford                       | Louise               | Ms.          | Y                     |           112901 |  16
 Crawley                        | Rosa                 | Mrs.         | Y                     |           394832 |  15
 Crittenden                     |                      | Dr.          |                       |           310655 |  15
 Croft                          | Raquel               | Ms.          | N                     |           344166 |  15
 Cromwell                       | Kevin                | Sir          | N                     |            59799 |  15
 Cronin                         | Kurt                 | Dr.          | N                     |           563387 |  15
 Crow                           | Marjorie             | Ms.          | Y                     |           256648 |  15
 Crowley                        | Henry                | Dr.          | Y                     |           185949 |  15
 Cruz                           | Frank                | Dr.          | Y                     |           846251 |  15
 Cummins                        | Raymond              | Dr.          | N                     |            53213 |  15
 Cunningham                     | John                 |              |                       |           633240 |  15
 Curtin                         | Ruth                 | Mrs.         | Y                     |           393783 |  15
 Curtis                         | Ronald               | Dr.          | N                     |           916904 |  16
 Cushman                        | Joseph               | Sir          | Y                     |            18714 |  15
 Dabbs                          | Russell              | Dr.          | N                     |            70384 |  15
 Dalton                         | Steven               | Mr.          | N                     |           859725 |  15
 Daniel                         | James                | Dr.          | N                     |           424586 |  16
 Daniels                        | Christopher          | Dr.          | N                     |            62909 |  16
 Daniels                        | Lois                 | Dr.          | N                     |           614836 |  15
 Darnell                        | Robert               | Mr.          | N                     |           289794 |  16
 Davidson                       | Krista               | Ms.          | Y                     |           840110 |  15
 Davies                         | Sandra               | Dr.          | Y                     |           686280 |  15
 Davis                          | Abraham              | Mr.          | N                     |           923417 |  15
 Davis                          | Caitlin              | Ms.          | Y                     |           349832 |  16
 Davis                          | Christopher          | Sir          | Y                     |           783763 |  15
 Davis                          | Geoffrey             | Sir          | Y                     |           102476 |  15
 Davis                          | Isaiah               | Dr.          | N                     |           395011 |  16
 Davis                          | James                | Dr.          | Y                     |            96396 |  15
 Davis                          | Joseph               | Dr.          | Y                     |           368285 |  15
 Davis                          | Kenneth              | Sir          | Y                     |           491964 |  15
 Davis                          | Phyllis              | Mrs.         | Y                     |           513940 |  16
 Davis                          | Robert               | Mr.          | Y                     |           179565 |  15
 Davis                          | Thomas               | Dr.          | N                     |           249172 |  15
 Davis                          | William              | Mr.          | N                     |           606405 |  15
 Dawson                         | Scott                | Dr.          | Y                     |           758709 |  15
 Dean                           | Francis              | Mr.          | N                     |           340056 |  15
 Dean                           | Susanne              | Dr.          | N                     |           638818 |  16
 Decker                         | Jose                 | Sir          | Y                     |           734717 |  16
 Delossantos                    | Debra                | Miss         |                       |           500886 |  16
 Denny                          | Rosa                 | Dr.          | N                     |           478029 |  15
 Devine                         | Anne                 | Miss         | N                     |           924871 |  15
 Diaz                           | David                | Sir          | Y                     |           303232 |  15
 Dickerson                      | Barbara              | Miss         | N                     |           492487 |  15
 Dillard                        | Julian               | Dr.          | Y                     |           836601 |  15
 Dockery                        | Avery                | Mr.          | Y                     |            60862 |  15
 Dodson                         | Tyler                | Sir          | Y                     |           260307 |  16
 Dolan                          | Hugh                 | Mr.          | N                     |           856380 |  15
 Donovan                        | August               | Dr.          | N                     |           318908 |  15
 Dotson                         | Gloria               | Miss         | Y                     |           331193 |  15
 Dotson                         | Patrick              | Sir          | Y                     |           466198 |  15
 Dowell                         | Lillian              | Dr.          | Y                     |           253466 |  16
 Doyle                          | Blossom              | Dr.          | N                     |           935080 |  15
 Dozier                         | Pamela               | Miss         | Y                     |           899895 |  15
 Driscoll                       | Larry                | Dr.          | Y                     |           414157 |  15
 Duarte                         | Malcolm              | Sir          | N                     |             4477 |  15
 Duckett                        | Verna                | Ms.          | Y                     |           169485 |  15
 Duncan                         | Kristina             | Mrs.         | N                     |           865261 |  15
 Dunlap                         | Richard              | Dr.          | N                     |           393942 |  16
 Duran                          | Lana                 | Ms.          | N                     |           887521 |  15
 Durham                         |                      | Dr.          |                       |             5099 |  15
 Dwyer                          | Harold               | Sir          | N                     |           546766 |  15
 Dyer                           | Larry                | Sir          | N                     |            69548 |  15
 Eagle                          | Todd                 | Sir          | Y                     |           578398 |  16
 Easter                         | Kevin                | Mr.          | N                     |           693083 |  15
 Eastman                        | Ashley               | Ms.          | N                     |           874775 |  15
 Eastman                        | Betty                | Dr.          | N                     |           322272 |  15
 Eastman                        | Cornelia             | Miss         | N                     |           691369 |  15
 Eastman                        | Leon                 | Mr.          | Y                     |           616469 |  15
 Eckert                         | Timothy              | Dr.          | N                     |           467735 |  15
 Edge                           | Hazel                | Mrs.         | N                     |           674076 |  15
 Edwards                        | Frank                | Sir          | N                     |           210602 |  15
 Edwards                        | Jack                 | Sir          | Y                     |           705684 |  15
 Edwards                        | Lisa                 | Ms.          | N                     |           123672 |  15
 Edwards                        | Mathew               | Dr.          | Y                     |           568079 |  15
 Edwards                        | Stephanie            | Miss         | N                     |           523120 |  15
 Elam                           | Michael              | Dr.          | N                     |           432450 |  15
 Elder                          | Nathaniel            | Mr.          | N                     |           295173 |  15
 Eldridge                       | Lawrence             | Sir          | N                     |           847426 |  15
 Ellis                          | Claire               | Miss         | N                     |            64354 |  16
 Emanuel                        | Phyllis              | Dr.          | N                     |           954503 |  15
 Emerson                        | Lizzie               | Ms.          | Y                     |           190045 |  15
 Emery                          | Rosa                 | Miss         | N                     |           137892 |  15
 Emmons                         | Marc                 | Sir          | Y                     |           654184 |  16
 Engle                          | Juan                 | Sir          | Y                     |           482263 |  16
 Enright                        | Simon                | Sir          | N                     |           678923 |  15
 Enriquez                       | Judith               | Mrs.         | N                     |           575230 |  16
 Epps                           | Diane                | Mrs.         | N                     |           349396 |  15
 Escalante                      | Kirsten              | Mrs.         | N                     |           673763 |  15
 Espinoza                       | Thomas               | Sir          | Y                     |           776735 |  16
 Estes                          | Erika                | Miss         | Y                     |           415899 |  15
 Estes                          | Jill                 | Mrs.         | Y                     |           145638 |  15
 Eubanks                        | Victoria             | Miss         | Y                     |           698046 |  15
 Evans                          | Lisa                 | Miss         | N                     |           404318 |  15
 Ewing                          | Lilia                | Miss         | N                     |           856891 |  15
 Fair                           | Orville              | Sir          | N                     |           226806 |  15
 Faison                         | Linda                | Miss         | N                     |           370131 |  15
 Fajardo                        | Max                  | Dr.          | Y                     |           637066 |  16
 Farrell                        | George               | Dr.          | Y                     |           922508 |  15
 Faulkner                       | Armando              | Mr.          | N                     |            87733 |  15
 Faust                          | Kimberly             | Miss         | N                     |           154320 |  15
 Ferguson                       | Clarence             | Sir          | Y                     |           634921 |  16
 Fields                         | Kathi                | Mrs.         | N                     |           552169 |  15
 Fields                         | Mark                 | Dr.          | N                     |           136594 |  15
 Fields                         | Thomas               | Mr.          | Y                     |           635348 |  15
 Finn                           | Annette              | Miss         | Y                     |            81359 |  15
 Finn                           | Barbara              | Miss         | N                     |           770723 |  15
 Fish                           | Sheryl               | Mrs.         | N                     |           522536 |  15
 Fisher                         | Roger                | Sir          | N                     |           632845 |  16
 Fitzgerald                     | Rita                 | Dr.          | N                     |           684168 |  16
 Flannery                       | David                | Mr.          | N                     |           286431 |  15
 Flood                          | Linda                | Miss         | N                     |            62720 |  15
 Flores                         | Lidia                | Dr.          | N                     |           746649 |  15
 Flores                         | Natalia              | Ms.          | Y                     |           616952 |  15
 Flores                         | Tabitha              | Miss         | Y                     |           577886 |  15
 Fonseca                        | Wilda                | Dr.          | Y                     |           423955 |  15
 Ford                           | Calvin               | Dr.          | N                     |           381261 |  15
 Ford                           | Carolyn              | Dr.          | N                     |           471329 |  15
 Ford                           | Charles              | Mr.          | N                     |           647344 |  15
 Ford                           | Ricardo              | Dr.          | Y                     |           917427 |  16
 Ford                           | Timothy              | Sir          | Y                     |           237616 |  15
 Forrester                      | Thomas               | Sir          | Y                     |             6382 |  15
 Foster                         | Ashley               | Miss         | N                     |           465220 |  15
 Foster                         | Deborah              | Mrs.         | Y                     |            41778 |  16
 Foster                         | James                | Dr.          | N                     |           685749 |  15
 Foster                         | Thomas               | Sir          | N                     |           600819 |  16
 Fox                            | Frederick            | Mr.          | Y                     |           901194 |  15
 Franklin                       | Rose                 | Miss         | N                     |           424097 |  15
 Frazier                        | Gary                 | Sir          | Y                     |           504824 |  15
 Freeland                       | Benny                | Sir          | N                     |           939154 |  15
 Freeman                        | Julian               | Dr.          | N                     |           184728 |  15
 Frey                           | Melissa              | Mrs.         | N                     |             9305 |  15
 Fuller                         | Cherly               | Mrs.         | Y                     |           604263 |  16
 Fultz                          | Jeffrey              | Mr.          | N                     |           410143 |  15
 Furman                         | Arlene               | Ms.          | N                     |            45619 |  15
 Gabriel                        | David                | Sir          | N                     |            13091 |  15
 Gagnon                         | Donald               | Mr.          | N                     |           265638 |  15
 Gaines                         | Lawrence             | Dr.          | Y                     |            76614 |  15
 Gamble                         | Tina                 | Mrs.         | N                     |           958269 |  15
 Garcia                         | Allen                | Ms.          | N                     |           360329 |  15
 Garcia                         | Danielle             | Ms.          | Y                     |           668725 |  15
 Garcia                         | Helen                | Mrs.         | Y                     |           202472 |  16
 Garcia                         | Johnny               | Sir          | Y                     |           882415 |  16
 Garcia                         | Roy                  | Mr.          | Y                     |           484609 |  15
 Garvin                         | Lawrence             | Sir          | Y                     |           911162 |  16
 Gary                           | Terence              | Dr.          | N                     |           349934 |  16
 Garza                          | Alan                 | Sir          | N                     |           285541 |  16
 Garza                          | Jose                 | Sir          | Y                     |           198698 |  15
 Garza                          | Roy                  | Mr.          | N                     |           326168 |  15
 Gaylord                        | Bonita               | Dr.          | N                     |            25911 |  15
 Gentile                        | Gerald               | Dr.          | Y                     |           274933 |  16
 George                         | Laurie               | Dr.          | N                     |           731084 |  16
 Gibbs                          | William              | Mr.          | Y                     |           677543 |  15
 Gibson                         | Angie                | Dr.          | N                     |            46241 |  16
 Gibson                         | Jaime                | Dr.          | Y                     |           369256 |  15
 Gibson                         | Vickie               | Miss         | N                     |           952158 |  15
 Giles                          | Luke                 | Dr.          | N                     |           224482 |  15
 Glenn                          | James                | Sir          | Y                     |           314684 |  15
 Glenn                          | Nelson               | Mr.          | N                     |           169397 |  15
 Goddard                        | Donald               | Mr.          | Y                     |           326234 |  15
 Godfrey                        | Gary                 | Dr.          | N                     |           479746 |  15
 Goins                          | Cedric               | Mr.          | N                     |           834220 |  15
 Gold                           | George               | Mr.          | N                     |           563510 |  15
 Golden                         | Betty                | Ms.          | Y                     |           458907 |  15
 Golden                         | Charles              | Dr.          | Y                     |           827719 |  15
 Gonsalves                      | Joe                  | Dr.          | Y                     |           264121 |  16
 Gonzalez                       | Crystal              | Dr.          | Y                     |           542536 |  15
 Gonzalez                       | Dale                 | Sir          | N                     |           887663 |  16
 Gonzalez                       | Derrick              | Sir          | Y                     |           603340 |  15
 Gonzalez                       | Dorthy               | Miss         | N                     |           713249 |  15
 Gonzalez                       | Ellen                | Ms.          | N                     |           730466 |  15
 Gonzalez                       | Karen                | Miss         | Y                     |           370835 |  15
 Gonzalez                       | Mariela              | Ms.          | Y                     |           685791 |  15
 Gooch                          | Adele                | Miss         | N                     |           922685 |  16
 Good                           | Kayla                | Ms.          | Y                     |           564079 |  15
 Goodman                        | James                | Sir          | N                     |           181553 |  15
 Goodman                        | Jason                | Mr.          | N                     |           867998 |  16
 Gould                          | Willie               | Mr.          | N                     |           864726 |  15
 Graf                           | Sherry               | Ms.          | Y                     |           911644 |  15
 Graham                         | Brian                | Mr.          | N                     |           641030 |  16
 Graham                         | Jason                | Dr.          | N                     |           816991 |  16
 Graham                         | Jose                 | Mr.          | N                     |           210676 |  16
