Timing is on.
          c_last_name           |     c_first_name     |  substr  | ss_ticket_number |   amt   |  profit   
 Alvarez                        | Martha               | Fairview |            73873 |  190.51 |  -9038.36
 Amato                          | Ron                  | Midway   |            25500 |  935.56 |  -7786.71
 Amato                          | Ron                  | Midway   |            25500 |         |          
 Amaya                          | Christina            | Midway   |           351544 |  535.43 |  -3485.92
 Anderson                       | Alex                 | Midway   |           267578 | 1724.73 | -10069.50
 Anderson                       | Anthony              | Midway   |           346860 |    0.00 |  -4894.05
 Anderson                       | Betty                | Midway   |           385718 | 1532.67 | -18431.71
 Anderson                       | Edward               | Midway   |            80699 |  584.51 |  -4761.40
 Anderson                       | James                | Fairview |           266967 | 1609.47 | -10439.50
 Anderson                       | James                | Fairview |           361158 |    0.00 | -10391.94
 Anderson                       | John                 | Fairview |           285286 |  693.68 |  -4104.66
 Anderson                       | Maxine               | Midway   |           437949 |  640.68 |  -2964.95
 Anderson                       | Natasha              | Midway   |           355490 | 5932.40 |  -3563.56
 Anderson                       | Nicholas             | Fairview |           185964 |  384.21 | -11173.01
 Anderson                       | Paul                 | Fairview |           103678 | 6187.74 |  -7312.53
 Anderson                       | Shaun                | Midway   |           337102 |  419.68 |   1278.19
 Anderson                       | Victoria             | Midway   |           238798 | 7070.30 | -12772.21
 Anderson                       | William              | Midway   |           474396 |  339.42 |  -6158.22
 Andrews                        | Gloria               | Midway   |           421784 |   93.72 |  -1853.55
 Andrews                        | Lori                 | Midway   |           101215 | 2507.42 |  -4051.93
 Anglin                         | Pamela               | Midway   |           224616 |   14.65 |  -2424.34
 Anthony                        | James                | Midway   |           409493 |  120.10 |  -6993.19
 Antonio                        | Carl                 | Midway   |           331889 |  232.79 |  -2541.34
 Antonio                        | Nicholas             | Midway   |           337582 |    0.00 |   -779.68
 Aponte                         | Marcia               | Midway   |           154056 |    0.00 |  -8057.17
 Appleton                       | Gary                 | Midway   |            85925 |  994.75 | -17001.45
 Armstrong                      | Horace               | Midway   |           293449 | 8936.03 | -13952.79
 Armstrong                      | Jennifer             | Midway   |           288576 |  735.01 |    882.71
 Armstrong                      | Matthew              | Midway   |           459452 | 4613.30 | -11991.11
 Arnold                         | Brandy               | Midway   |           449021 | 1673.23 |  -3864.27
 Arnold                         | David                | Midway   |           319236 |  914.87 | -10016.49
 Arnold                         | Ivan                 | Midway   |           416912 | 4258.62 | -18275.86
 Arnold                         | John                 | Midway   |           300394 |   61.23 |   -517.28
 Arnold                         | Justin               | Midway   |            88501 | 2051.67 |  -5932.03
 Arnold                         | Misty                | Midway   |           262786 | 3812.24 | -13536.47
 Arnold                         | Misty                | Midway   |           262786 |         |          
 Arnold                         | Nancy                | Fairview |            39910 |  220.83 | -16474.29
 Arthur                         | Tomasa               | Midway   |           253588 | 3692.93 |  -7468.62
 Ash                            | Rhoda                | Midway   |           449288 |  283.14 |  -9124.77
 Ashford                        | Mike                 | Midway   |            59286 | 1722.30 |  -2885.97
 Askew                          | Cynthia              | Midway   |           115749 |    0.00 |  -5922.66
 Askew                          | Samantha             | Midway   |           327987 |    0.00 |  -4913.22
 Atwood                         | Karla                | Midway   |           227235 | 2318.57 | -11127.74
 Augustine                      | Benito               | Midway   |           325270 | 2053.68 | -13393.05
 Augustine                      | Benito               | Midway   |           184342 | 2937.81 |  -5244.19
 Austin                         | Danielle             | Midway   |           275281 | 7874.12 | -14791.99
 Austin                         | Walter               | Midway   |           361419 | 2195.09 | -16981.60
(100 rows)

Time: 1826,494 ms (00:01,826)
