Timing is on.
          c_last_name           |     c_first_name     | c_salutation | c_preferred_cust_flag | ss_ticket_number | cnt 
 Rios                           | Carl                 | Dr.          | Y                     |           228018 |  16
 Roberts                        | Joseph               | Sir          | N                     |           169018 |  15
 Robinson                       | Edith                | Mrs.         | Y                     |            54410 |  15
 Rodriguez                      | Joshua               | Dr.          | Y                     |           172107 |  15
 Romero                         | Rachel               | Mrs.         | Y                     |            87733 |  15
 Romero                         | Samantha             | Miss         | N                     |           152701 |  15
 Rose                           | Reginald             | Dr.          | Y                     |           135483 |  15
 Ross                           | Concepcion           | Ms.          | N                     |           195569 |  16
 Ross                           | Michael              | Mr.          | Y                     |           120658 |  15
 Russ                           | Julie                | Dr.          | Y                     |            41637 |  16
 Salazar                        | Janet                | Dr.          | N                     |             5921 |  16
 Salazar                        | Matt                 | Sir          | Y                     |            53540 |  15
 Sanders                        | Louise               | Mrs.         | N                     |            97145 |  15
 Savage                         | Margaret             | Mrs.         | N                     |            99806 |  16
 Scott                          | Jeri                 | Ms.          | N                     |           184728 |  15
 Scott                          | Larry                | Dr.          | N                     |           155985 |  15
 Seale                          | Harry                | Mr.          | Y                     |           180460 |  16
 Sheldon                        | Ronald               | Dr.          | Y                     |           106686 |  15
 Shields                        | Donna                | Ms.          | Y                     |             4477 |  15
 Simpson                        | Emmett               | Mr.          | Y                     |            13091 |  15
 Sims                           | Ernesto              | Dr.          | N                     |            51394 |  15
 Smith                          | Jeremy               | Mr.          | Y                     |           181908 |  15
 Smith                          | Linda                | Dr.          | N                     |           125961 |  16
 Smith                          | Megan                | Miss         | N                     |             3505 |  15
 Smith                          | Michael              | Dr.          | N                     |           210602 |  15
 Smith                          | Michael              | Sir          | N                     |            65614 |  16
 Smith                          | Robert               | Dr.          | N                     |           148108 |  15
 Snyder                         | Pamela               | Mrs.         | Y                     |            10166 |  15
 Solis                          | Cindy                | Dr.          | Y                     |           118752 |  15
 Soto                           | Dorothy              | Ms.          | N                     |            59799 |  15
 Stafford                       | Thomas               | Sir          | Y                     |           149367 |  16
 Stephens                       |                      | Dr.          |                       |            91491 |  15
 Stevenson                      | Doris                | Dr.          | N                     |           134167 |  15
 Steward                        | Darren               | Dr.          | Y                     |            91091 |  15
 Strickland                     | Danny                | Mr.          | Y                     |            61429 |  16
 Strickland                     | Sylvia               | Dr.          | N                     |           166807 |  15
 Sullivan                       | Deborah              | Miss         | Y                     |           163264 |  16
 Sullivan                       | Victor               | Mr.          | N                     |           175254 |  15
 Sutton                         | Hilaria              | Miss         | N                     |            15499 |  15
 Taylor                         | Breanne              | Dr.          | Y                     |            53349 |  15
 Taylor                         | Jacqueline           | Mrs.         | Y                     |            54754 |  15
 Teal                           | Allen                | Dr.          | N                     |            89555 |  15
 Thomas                         | Lisa                 | Dr.          | N                     |           123672 |  15
 Thomas                         | Wanda                | Ms.          | N                     |            93926 |  15
 Thompson                       | Christina            | Mrs.         | N                     |           133822 |  15
 Thrasher                       | Albert               | Mrs.         | Y                     |             9305 |  15
 Todd                           | Clinton              | Mr.          | Y                     |            68523 |  15
 Tomlin                         | Cole                 | Sir          | Y                     |           204824 |  15
 Torres                         | Debbie               | Miss         | Y                     |           134128 |  16
 Trent                          | Kiera                | Mrs.         | Y                     |           237616 |  15
 Turman                         | Jeanette             | Dr.          | Y                     |           217128 |  16
 Turner                         | Kurt                 | Sir          | N                     |           198464 |  15
 Underwood                      | Luis                 | Dr.          | Y                     |           200605 |  16
 Valdez                         | Anthony              | Miss         | Y                     |            24409 |  15
 Valerio                        | William              | Mr.          | Y                     |           177373 |  16
 Villalobos                     | Sara                 | Mrs.         | N                     |           103623 |  15
 Villegas                       | Krystal              | Mrs.         | N                     |           224482 |  15
 Walker                         | Brent                | Dr.          | Y                     |           190359 |  15
 Walker                         | David                | Sir          | Y                     |            93156 |  15
 Walker                         | Jonathan             | Mr.          | N                     |            54517 |  15
 Walker                         | Joseph               | Dr.          | N                     |            75846 |  16
 Walters                        | Brian                | Dr.          | Y                     |            35178 |  15
 Walton                         | Alana                | Mrs.         | Y                     |             8236 |  15
 Washburn                       | Joseph               | Sir          | Y                     |           148074 |  15
 Washburn                       | Julissa              | Mrs.         | N                     |             9891 |  15
 Watson                         | Angela               | Miss         | Y                     |           232668 |  15
 Watson                         | Brenda               | Dr.          | N                     |           143949 |  16
 Watts                          | Gloria               | Dr.          | N                     |           230807 |  15
 Weathers                       | Chrystal             | Miss         | N                     |            91183 |  15
 Weaver                         | Dustin               | Dr.          | Y                     |           141519 |  16
 Weaver                         | Irma                 | Dr.          | N                     |           236141 |  15
 Weber                          | Vicky                | Dr.          | Y                     |           221403 |  16
 Webster                        | Jessie               | Sir          | N                     |           124483 |  16
 Weir                           | Steven               | Dr.          | N                     |           201359 |  15
 Welch                          | Carla                | Mrs.         | Y                     |            37172 |  15
 Welch                          | Robert               | Dr.          | N                     |            17023 |  16
 Wells                          | Geoffrey             | Mr.          | N                     |            95575 |  16
 West                           | David                | Sir          | Y                     |            36939 |  16
 Whelan                         | Alice                | Ms.          | N                     |           135107 |  15
 White                          | Brenda               | Dr.          | N                     |            40543 |  15
 Whitehead                      | Ruth                 | Ms.          | Y                     |           113000 |  15
 Wilbur                         | Susanne              | Miss         | N                     |            72202 |  15
 William                        | Kathy                | Mrs.         | Y                     |           206234 |  15
 Williams                       | Patrick              | Sir          | N                     |            50348 |  15
 Winston                        | Joseph               | Mr.          | N                     |           174079 |  16
 Witherspoon                    | Lucie                | Ms.          | Y                     |           169397 |  15
 Witt                           | Fred                 | Sir          | N                     |           175667 |  16
 Wong                           | Fannie               | Ms.          | Y                     |           123146 |  15
 Wong                           | Matthew              | Mr.          | N                     |           161378 |  16
 Worthy                         | Rick                 | Dr.          | N                     |            84941 |  15
 Wright                         | Catherine            | Miss         | N                     |            57686 |  16
 Wright                         | Charles              | Mr.          | Y                     |           182089 |  16
 Wright                         | Lana                 | Miss         | N                     |           108707 |  15
 Yang                           | Barbara              | Ms.          |                       |           155214 |  16
 Yates                          | Francis              | Dr.          | Y                     |            53213 |  15
 Zamora                         | Wesley               | Dr.          | N                     |            62427 |  15
                                | Herman               |              | N                     |           189498 |  15
                                | Howard               | Sir          |                       |           136235 |  15
                                | Joshua               | Sir          | N                     |           120782 |  15
                                | Leonel               |              | N                     |            66349 |  15
                                | Mark                 |              |                       |            76614 |  15
                                | Nicole               | Ms.          | Y                     |            62622 |  15
                                |                      | Mr.          | N                     |           157407 |  15
                                |                      |              |                       |           182876 |  16
                                |                      |              | Y                     |            29272 |  15
                                |                      |              | Y                     |            53729 |  15
                                |                      |              | N                     |            13395 |  15
(367 rows)

Time: 1086,762 ms (00:01,087)
